ensembl_gene_id hgnc_symbol hgnc_id chromosome_name start_position end_position gene_biotype
ENSG00000277484 KIR2DL3 HGNC:6331 CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1 54738471 54753005 protein_coding
ENSG00000273575 KIR2DL4 HGNC:6332 CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1 54803379 54814527 protein_coding
ENSG00000273510 KIR2DL1 HGNC:6329 CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1 54769838 54784324 protein_coding
ENSG00000275237 KIR2DL4 HGNC:6332 CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1 54789912 54800893 protein_coding
ENSG00000276858 FCAR HGNC:3608 CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1 54874219 54890443 protein_coding
ENSG00000277616 KIR2DL1 HGNC:6329 CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1 54814388 54828892 protein_coding
ENSG00000275717 KIR3DL1 HGNC:6338 CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1 54816473 54830785 protein_coding
ENSG00000277044 OPRL1 HGNC:8155 CHR_HSCHR20_1_CTG3 64097802 64100643 protein_coding
ENSG00000277251 KIR2DL2 HGNC:6330 CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1 54754680 54769221 protein_coding
ENSG00000277339 NPBWR2 HGNC:4530 CHR_HSCHR20_1_CTG3 64105820 64107171 protein_coding
ENSG00000278606 KIR2DL4 HGNC:6332 CHR_HSCHR19KIR_G085_A_HAP_CTG3_1 54803296 54814484 protein_coding
ENSG00000276876 MYT1 HGNC:7622 CHR_HSCHR20_1_CTG3 64155437 64245898 protein_coding
ENSG00000276501 KIR3DL1 HGNC:6338 CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1 54861074 54875379 protein_coding
ENSG00000276328 KIR3DL3 HGNC:16312 CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1 54724453 54736091 protein_coding
ENSG00000275407 KIR2DL2 HGNC:6330 CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1 54754722 54769049 protein_coding
ENSG00000261992 GATAD2B HGNC:30778 CHR_HSCHR1_1_CTG31 153821956 153845579 protein_coding
ENSG00000278805 KIR2DL1 HGNC:6329 CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1 54814475 54828769 protein_coding
ENSG00000274692 KIR2DL1 HGNC:6329 CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1 54769275 54783790 protein_coding
ENSG00000276424 KIR3DL2 HGNC:6339 CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1 54895138 54911932 protein_coding
ENSG00000263057 KRT20 HGNC:20412 CHR_HSCHR17_4_CTG4 40875941 40885227 protein_coding
ENSG00000273526 KIR2DS4 HGNC:6336 CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1 54832771 54848624 protein_coding
ENSG00000275062 KIR3DL3 HGNC:16312 CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1 54723963 54736023 protein_coding
ENSG00000276423 KIR3DL1 HGNC:6338 CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1 54802859 54817155 protein_coding
ENSG00000275433 KIR3DL3 HGNC:16312 CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1 54726054 54736537 protein_coding
ENSG00000262068 KRTAP3-1 HGNC:16778 CHR_HSCHR17_4_CTG4 41008648 41019451 protein_coding
ENSG00000273738 FCAR HGNC:3608 CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1 54874290 54891462 protein_coding
ENSG00000263296 KRTAP3-2 HGNC:16779 CHR_HSCHR17_4_CTG4 40999320 41000021 protein_coding
ENSG00000274948 KIR3DL1 HGNC:6338 CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1 54816448 54830767 protein_coding
ENSG00000262121 KRTAP4-9 HGNC:18910 CHR_HSCHR17_4_CTG4 41105751 41106907 protein_coding
ENSG00000263163 SLC27A3 HGNC:10997 CHR_HSCHR1_1_CTG31 153791585 153797388 protein_coding
ENSG00000281935 DNAH10 HGNC:2941 CHR_HSCHR12_6_CTG2_1 123826687 123935766 protein_coding
ENSG00000263091 KRTAP2-4 HGNC:18891 CHR_HSCHR17_4_CTG4 41065346 41066109 protein_coding
ENSG00000276885 KIR2DS4 HGNC:6336 CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1 54832710 54847746 protein_coding
ENSG00000274696 KIR3DL3 HGNC:16312 CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1 54724453 54767462 protein_coding
ENSG00000263309 KRT23 HGNC:6438 CHR_HSCHR17_4_CTG4 40922696 40937634 protein_coding
ENSG00000275786 KIR3DL1 HGNC:6338 CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1 54816499 54830812 protein_coding
ENSG00000278427 KIR3DL1 HGNC:6338 CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1 54802842 54817184 protein_coding
ENSG00000274406 KIR2DS4 HGNC:6336 CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1 54832654 54848284 protein_coding
ENSG00000276676 KIR2DS5 HGNC:6337 CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1 54782658 54797195 protein_coding
ENSG00000276985 FCAR HGNC:3608 CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1 54945648 54961872 protein_coding
ENSG00000275276 KIR2DL1 HGNC:6329 CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1 54769704 54783960 protein_coding
ENSG00000276084 KIR3DL3 HGNC:16312 CHR_HSCHR19KIR_G085_A_HAP_CTG3_1 54724447 54736085 protein_coding
ENSG00000276258 KIR2DS2 HGNC:6334 CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1 54738568 54752475 protein_coding
ENSG00000275659 KIR3DL1 HGNC:6338 CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1 54814901 54878560 protein_coding
ENSG00000275946 KIR2DL5B HGNC:16346 CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1 54771241 54780725 protein_coding
ENSG00000274189 KIR2DL4 HGNC:6332 CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1 54848193 54859216 protein_coding
ENSG00000277982 KIR3DL2 HGNC:6339 CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1 54877123 54893917 protein_coding
ENSG00000276534 KIR3DS1 HGNC:6340 CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1 54802839 54817200 protein_coding
ENSG00000276425 KIR2DS2 HGNC:6334 CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1 54738476 54752501 protein_coding
ENSG00000275421 KIR2DS1 HGNC:6333 CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1 54847678 54861692 protein_coding
ENSG00000275047 KIR2DS3 HGNC:6335 CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1 54830927 54845947 protein_coding
ENSG00000275172 KIR3DL3 HGNC:16312 CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1 54724485 54736504 protein_coding
ENSG00000275080 KIR2DL1 HGNC:6329 CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1 54798381 54812886 protein_coding
ENSG00000275511 KIR3DL2 HGNC:6339 CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1 54864251 54881045 protein_coding
ENSG00000274518 KIR2DS2 HGNC:6334 CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1 54738519 54752638 protein_coding
ENSG00000277725 KIR2DL2 HGNC:6330 CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1 54754632 54769000 protein_coding
ENSG00000274945 KIR2DL4 HGNC:6332 CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1 54848094 54859121 protein_coding
ENSG00000274722 KIR3DL2 HGNC:6339 CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1 54836820 54853592 protein_coding
ENSG00000278850 KIR3DL2 HGNC:6339 CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1 54849551 54866326 protein_coding
ENSG00000273518 KIR3DL1 HGNC:6338 CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1 54816451 54830756 protein_coding
ENSG00000274782 KIR2DL1 HGNC:6329 CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1 54769765 54784000 protein_coding
ENSG00000277833 KIR2DL1 HGNC:6329 CHR_HSCHR19KIR_G085_A_HAP_CTG3_1 54769756 54784259 protein_coding
ENSG00000275035 CCDC92 HGNC:29563 CHR_HSCHR12_6_CTG2_1 123918723 123946006 protein_coding
ENSG00000277193 KIR2DS3 HGNC:6335 CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1 54830865 54845301 protein_coding
ENSG00000276392 KIR2DL5A HGNC:16345 CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1 54819505 54829001 protein_coding
ENSG00000277650 KIR2DS3 HGNC:6335 CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1 54830903 54845777 protein_coding
ENSG00000277964 KIR2DL4 HGNC:6332 CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1 54803571 54814487 protein_coding
ENSG00000276329 KIR3DL1 HGNC:6338 CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1 54861173 54875478 protein_coding
ENSG00000262845 KRT40 HGNC:26707 CHR_HSCHR17_4_CTG4 40977843 40987262 protein_coding
ENSG00000273661 KIR2DL2 HGNC:6330 CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1 54754679 54769001 protein_coding
ENSG00000274830 KIR2DL3 HGNC:6331 CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1 54738514 54753065 protein_coding
ENSG00000274676 KIR2DL5A HGNC:16345 CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1 54819459 54828923 protein_coding
ENSG00000273578 KIR2DL2 HGNC:6330 CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1 54754600 54768961 protein_coding
ENSG00000278369 KIR2DL3 HGNC:6331 CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1 54738530 54753070 protein_coding
ENSG00000274955 KIR2DL4 HGNC:6332 CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1 54803541 54814525 protein_coding
ENSG00000276004 KIR3DL2 HGNC:6339 CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1 54850300 54867064 protein_coding
ENSG00000275699 KIR2DL4 HGNC:6332 CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1 54803535 54814517 protein_coding
ENSG00000276498 KIR3DS1 HGNC:6340 CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1 54802804 54817417 protein_coding
ENSG00000262808 KRTAP1-1 HGNC:16772 CHR_HSCHR17_4_CTG4 41040684 41041586 protein_coding
ENSG00000274707 KIR2DL5B HGNC:16346 CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1 54755098 54764695 protein_coding
ENSG00000274193 KIR2DL4 HGNC:6332 CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1 54789815 54800891 protein_coding
ENSG00000263229 KRTAP4-11 HGNC:18911 CHR_HSCHR17_4_CTG4 41117663 41118842 protein_coding
ENSG00000262347 KRTAP1-3 HGNC:16771 CHR_HSCHR17_4_CTG4 41034011 41034982 protein_coding
ENSG00000262520 KRTAP4-16 HGNC:18921 CHR_HSCHR17_4_CTG4 41101921 41102628 protein_coding
ENSG00000275008 KIR2DL3 HGNC:6331 CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1 54738018 54752516 protein_coding
ENSG00000263243 KRT12 HGNC:6414 CHR_HSCHR17_4_CTG4 40861303 40867210 protein_coding
ENSG00000275599 KIR2DS3 HGNC:6335 CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1 54843950 54858409 protein_coding
ENSG00000274402 KIR2DL3 HGNC:6331 CHR_HSCHR19KIR_G085_A_HAP_CTG3_1 54738465 54752989 protein_coding
ENSG00000261862 KRTAP1-5 HGNC:16777 CHR_HSCHR17_4_CTG4 41026153 41027329 protein_coding
ENSG00000262164 KRT39 HGNC:32971 CHR_HSCHR17_4_CTG4 40958544 40967019 protein_coding
ENSG00000274283 KIR3DS1 HGNC:6340 CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1 54815911 54830525 protein_coding
ENSG00000276086 KIR3DL3 HGNC:16312 CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1 54724481 54736671 protein_coding
ENSG00000274243 KIR2DS5 HGNC:6337 CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1 54782617 54797414 protein_coding
ENSG00000275521 NCR1 HGNC:6731 CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1 54906121 54910036 protein_coding
ENSG00000275486 KIR3DL1 HGNC:6338 CHR_HSCHR19KIR_G085_A_HAP_CTG3_1 54816441 54830746 protein_coding
ENSG00000278414 KIR2DL5B HGNC:16346 CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1 54771198 54780682 protein_coding
ENSG00000278474 KIR3DL2 HGNC:6339 CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1 54880532 54897308 protein_coding
ENSG00000273502 KIR3DL3 HGNC:16312 CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1 54724478 54736594 protein_coding
ENSG00000261852 KRTAP2-1 HGNC:16775 CHR_HSCHR17_4_CTG4 41046666 41047441 protein_coding
ENSG00000276590 KIR2DL3 HGNC:6331 CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1 54738496 54752881 protein_coding
ENSG00000274480 KIR3DL3 HGNC:16312 CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1 54724486 54736514 protein_coding
ENSG00000263101 KRTAP3-3 HGNC:18890 CHR_HSCHR17_4_CTG4 40993557 40994260 protein_coding
ENSG00000275750 KIR2DL1 HGNC:6329 CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1 54769705 54783961 protein_coding
ENSG00000278710 KIR3DL2 HGNC:6339 CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1 54850408 54867186 protein_coding
ENSG00000262862 KRTAP2-3 HGNC:18906 CHR_HSCHR17_4_CTG4 41059470 41060344 protein_coding
ENSG00000263236 KRTAP4-12 HGNC:16776 CHR_HSCHR17_4_CTG4 41123559 41124635 protein_coding
ENSG00000263242 KRTAP1-4 HGNC:18904 CHR_HSCHR17_4_CTG4 41029824 41030231 protein_coding
ENSG00000274724 KIR3DL3 HGNC:16312 CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1 54724448 54736134 protein_coding
ENSG00000273603 KIR2DS1 HGNC:6333 CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1 54847887 54862123 protein_coding
ENSG00000275596 KIR2DL5A HGNC:16345 CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1 54819506 54828970 protein_coding
ENSG00000276139 KIR2DS2 HGNC:6334 CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1 54738560 54752721 protein_coding
ENSG00000276806 KIR3DL3 HGNC:16312 CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1 54724507 54736522 protein_coding
ENSG00000275452 KIR2DS2 HGNC:6334 CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1 54738501 54769226 protein_coding
ENSG00000275608 KIR3DS1 HGNC:6340 CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1 54802886 54817473 protein_coding
ENSG00000276218 KIR2DL3 HGNC:6331 CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1 54738484 54752990 protein_coding
ENSG00000277362 KIR2DL4 HGNC:6332 CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1 54803533 54814482 protein_coding
ENSG00000278442 KIR3DL2 HGNC:6339 CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1 54850442 54867200 protein_coding
ENSG00000278758 KIR3DL2 HGNC:6339 CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1 54864015 54880809 protein_coding
ENSG00000275253 KIR2DS2 HGNC:6334 CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1 54738498 54752702 protein_coding
ENSG00000275626 KIR3DL2 HGNC:6339 CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1 54835435 54852194 protein_coding
ENSG00000274146 KIR3DL1 HGNC:6338 CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1 54802891 54817199 protein_coding
ENSG00000276333 HS3ST6 HGNC:14178 CHR_HSCHR16_4_CTG1 1913487 1920464 protein_coding
ENSG00000277317 KIR2DL3 HGNC:6331 CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1 54738506 54752764 protein_coding
ENSG00000278079 KIR3DL1 HGNC:6338 CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1 54816470 54830813 protein_coding
ENSG00000276930 KIR3DL3 HGNC:16312 CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1 54724479 54736536 protein_coding
ENSG00000274556 KIR3DL3 HGNC:16312 CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1 54724447 54736132 protein_coding
ENSG00000275937 KIR2DL5B HGNC:16346 CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1 54770973 54780252 protein_coding
ENSG00000277885 KIR2DS2 HGNC:6334 CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1 54738243 54752150 protein_coding
ENSG00000275083 KIR3DL2 HGNC:6339 CHR_HSCHR19KIR_G085_A_HAP_CTG3_1 54850406 54867200 protein_coding
ENSG00000276011 KIR2DL2 HGNC:6330 CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1 54754397 54768727 protein_coding
ENSG00000277552 KIR3DL3 HGNC:16312 CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1 54724203 54736221 protein_coding
ENSG00000278327 KIR2DL3 HGNC:6331 CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1 54738499 54753027 protein_coding
ENSG00000273517 KIR2DS1 HGNC:6333 CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1 54847867 54861881 protein_coding
ENSG00000275136 FCAR HGNC:3608 CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1 54874257 54890481 protein_coding
ENSG00000277596 KIR3DL3 HGNC:16312 CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1 54727609 54736462 protein_coding
ENSG00000275262 KIR3DL2 HGNC:6339 CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1 54850443 54867215 protein_coding
ENSG00000273887 KIR2DL3 HGNC:6331 CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1 54738479 54753050 protein_coding
ENSG00000274563 KIR2DS5 HGNC:6337 CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1 54766539 54781397 protein_coding
ENSG00000276450 NCR1 HGNC:6731 CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1 54905329 54909244 protein_coding
ENSG00000278304 KIR2DS1 HGNC:6333 CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1 54860710 54875253 protein_coding
ENSG00000275970 FCAR HGNC:3608 CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1 54873427 54889651 protein_coding
ENSG00000275288 KIR3DL1 HGNC:6338 CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1 54816438 54830737 protein_coding
ENSG00000273794 KIR2DL1 HGNC:6329 CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1 54769825 54784337 protein_coding
ENSG00000278780 ZNF430 HGNC:20808 CHR_HSCHR19_1_CTG2 21027036 21043218 protein_coding
ENSG00000274108 KIR2DL3 HGNC:6331 CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1 54738481 54752986 protein_coding
ENSG00000276686 KIR2DL5A HGNC:16345 CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1 54832558 54842109 protein_coding
ENSG00000277356 KIR2DL1 HGNC:6329 CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1 54769746 54783981 protein_coding
ENSG00000281486 SNTG2 HGNC:13741 CHR_HSCHR2_3_CTG1 1209102 1269668 protein_coding
ENSG00000279566 ZNF43 HGNC:13109 CHR_HSCHR19_2_CTG2 21814429 21818511 protein_coding
ENSG00000278201 KIR2DL4 HGNC:6332 CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1 54802913 54813989 protein_coding
ENSG00000276395 KIR2DS4 HGNC:6336 CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1 54832694 54847510 protein_coding
ENSG00000274746 ZNF100 HGNC:12880 CHR_HSCHR19_2_CTG2 21732245 21777028 protein_coding
ENSG00000280830 ADI1 HGNC:30576 CHR_HSCHR2_1_CTG1 3498728 3502360 protein_coding
ENSG00000274429 DLG5 HGNC:2904 CHR_HSCHR10_1_CTG4 77790791 77926526 protein_coding
ENSG00000276310 KIR2DL1 HGNC:6329 CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1 54769748 54784069 protein_coding
ENSG00000274891 TRAPPC12 HGNC:24284 CHR_HSCHR2_1_CTG1 3401777 3486461 protein_coding
ENSG00000278025 NCR1 HGNC:6731 CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1 54977550 54981465 protein_coding
ENSG00000275974 PPIAL4F HGNC:33999 CHR_HSCHR1_4_CTG31 144592865 144593524 protein_coding
ENSG00000274786 KIR3DL3 HGNC:16312 CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1 54724451 54736098 protein_coding
ENSG00000278091 ZNF85 HGNC:13160 CHR_HSCHR19_1_CTG2 20929638 20957113 protein_coding
ENSG00000274465 KIR3DS1 HGNC:6340 CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1 54860636 54875223 protein_coding
ENSG00000274610 KIR3DP1 HGNC:16343 CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1 54771258 54784662 protein_coding
ENSG00000277750 KIR2DL4 HGNC:6332 CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1 54803572 54814476 protein_coding
ENSG00000278271 KIR2DL4 HGNC:6332 CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1 54789822 54800920 protein_coding
ENSG00000278755 KIR2DL1 HGNC:6329 CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1 54769814 54784135 protein_coding
ENSG00000275051 PIWIL1 HGNC:9007 CHR_HSCHR12_5_CTG2_1 130337887 130372618 protein_coding
ENSG00000275269 FCAR HGNC:3608 CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1 54860626 54876850 protein_coding
ENSG00000273498 KIR2DL4 HGNC:6332 CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1 54789862 54800938 protein_coding
ENSG00000274947 KIR2DS4 HGNC:6336 CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1 54832654 54848283 protein_coding
ENSG00000281020 SNTG2 HGNC:13741 CHR_HSCHR2_4_CTG1 1316265 1365970 protein_coding
ENSG00000262647 OR9G4 HGNC:15322 CHR_HG151_NOVEL_TEST 56753901 56754885 protein_coding
ENSG00000275050 ZNF66 HGNC:13135 CHR_HSCHR19_1_CTG2 20776304 20807420 protein_coding
ENSG00000261958 OR9G1 HGNC:15319 CHR_HG151_NOVEL_TEST 56700386 56701303 protein_coding
ENSG00000262191 OR9G9 HGNC:31940 CHR_HG151_NOVEL_TEST 56711466 56712383 protein_coding
ENSG00000278490 KIR3DL3 HGNC:16312 CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1 54724454 54736547 protein_coding
ENSG00000278726 KIR3DL2 HGNC:6339 CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1 54850439 54867235 protein_coding
